# LibreOffice 26.2.4.2 0229ac93fcf0d7cb, eight Latin duplicate faces aside; 2026-09-06
# expected node spacing: dx 3200400 EMU = 252.000 pt, dy 1828800 EMU = 144.000 pt
case	node	xMin	yMin	xMax	yMax
eff-024	AAA	97.173000	100.311956	117.949518	114.956836
eff-024	BBB	349.831000	244.311956	369.395255	258.956836
eff-bottom	AAA	97.173000	100.311956	117.949518	114.956836
eff-bottom	BBB	349.831000	244.311956	369.395255	258.956836
eff-none	AAA	97.173000	100.311956	117.949518	114.956836
eff-none	BBB	349.831000	244.311956	369.395255	258.956836
eff-sides	AAA	97.173000	100.311956	117.949518	114.956836
eff-sides	BBB	349.831000	244.311956	369.395255	258.956836
# 024-shaped frame: expected spacing 2097140 EMU = 165.129 pt both ways
like024-noeff	TOP	301.255000	93.396908	320.891207	108.040568
like024-noeff	LFT	137.775000	258.532908	154.170513	273.176568
like024-noeff	CTR	301.705000	258.532908	320.501027	273.176568
like024-noeff	BOT	301.105000	423.668908	321.053274	438.312568
like024-noeff	RGT	466.335000	258.532908	486.079230	273.176568
like024	TOP	301.255000	93.396908	320.891207	108.040568
like024	LFT	137.775000	258.532908	154.170513	273.176568
like024	CTR	301.705000	258.532908	320.501027	273.176568
like024	BOT	301.105000	423.668908	321.053274	438.312568
like024	RGT	466.335000	258.532908	486.079230	273.176568
span-frame	TOP	254.306000	91.696908	273.942908	106.340568
span-frame	LFT	90.820000	256.832908	107.216098	271.476568
span-frame	CTR	254.756000	256.832908	273.552698	271.476568
span-frame	BOT	254.156000	421.918908	274.104986	436.562568
span-frame	RGT	419.342000	256.832908	439.086935	271.476568
