path	ext	pages	words	fonts	unemb	verdict
words/batch-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	7/7	1907/1907	1/1	0	match
words/batch-001/doc/GLACIERBG.ETT.doc	doc	1/1	411/411	3/3	0	match
words/batch-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	1/1	128/128	3/3	0	match
words/batch-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	2/2	387/387	3/3	0	match
words/batch-001/doc/foca_form_1.doc	doc	3/3	1687/1687	2/2	0	match
words/batch-001/docx/CMTA_Airport_Transportation.docx	docx	1/1	260/260	2/2	0	match
words/batch-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	1/1	350/350	2/2	0	match
words/batch-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	1/1	317/317	2/2	0	match
words/batch-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	1/1	300/300	3/3	0	match
words/batch-001/docx/private-hire-operators-licensed.docx	docx	2/2	239/239	2/2	0	match
words/batch-002/doc/Bull01-06-Reserve Training Standards.doc	doc	6/6	1483/1483	2/2	0	match
words/batch-002/doc/FMRBullletinB-28.doc	doc	2/2	461/461	3/3	0	match
words/batch-002/doc/prison-population-bulletin-june.doc	doc	4/4	1440/1440	2/2	0	match
words/batch-002/docx/AUWG min 4-3-24 final.docx	docx	2/2	649/649	2/2	0	match
words/batch-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	2/2	720/720	3/3	0	match
words/batch-002/docx/FAA-High-Level-Org-Chart.docx	docx	3/3	812/812	4/4	0	match
words/batch-002/docx/Interview-mit-Manfred1-Müller.docx	docx	2/2	805/805	2/2	0	match
words/batch-002/docx/easa-form-1.docx	docx	5/5	1434/1433	2/2	0	match
words/batch-002/docx/lk03_17.docx	docx	2/2	373/373	2/2	0	match
words/batch-002/docx/s33song-beverlyactproductionofdocuments.docx	docx	2/2	572/572	3/3	0	match
words/batch-003/doc/10795.doc	doc	4/4	860/864	3/4	0	match
words/batch-003/doc/96-3-clement-data.doc	doc	7/7	1514/1513	4/4	0	match
words/batch-003/doc/DEP2008-1900.doc	doc	4/4	1011/1011	5/4	0	match
words/batch-003/doc/II.1.2_Hypoxia.doc	doc	13/13	3738/3738	2/2	0	match
words/batch-003/doc/Temp16.doc	doc	2/2	671/671	3/3	0	match
words/batch-003/docx/191216_Lesefassung_Nachtflugregelung.docx	docx	3/3	910/910	4/4	0	match
words/batch-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	docx	5/5	1704/1704	4/4	0	match
words/batch-003/docx/DRX-Ascend System Course Description.docx	docx	2/2	512/512	4/4	0	match
words/batch-003/docx/Technical_Issue_Report_Form.docx	docx	2/2	406/406	4/4	0	match
words/batch-003/docx/mde087077~283.docx	docx	4/4	997/997	3/3	0	match
words/batch-004/doc/07-04.doc	doc	3/3	1078/1078	5/5	0	match
words/batch-004/doc/1447.doc	doc	3/4	962/962	5/5	0	pages
words/batch-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	doc	3/3	1051/1051	4/4	0	match
words/batch-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	doc	5/5	1196/1196	5/5	0	match
words/batch-004/docx/1528039320.docx	docx	1/1	292/292	2/2	0	match
words/batch-004/docx/461249.docx	docx	5/5	1710/1708	4/4	0	match
words/batch-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	docx	3/3	960/960	3/3	0	match
words/batch-004/docx/License App Instructions 2-22.docx	docx	3/3	1036/1036	4/4	0	match
words/batch-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	docx	4/4	1094/1094	6/6	0	match
words/batch-004/docx/Software Architecture Document Template.docx	docx	3/3	604/604	5/5	0	match
words/batch-005/doc/316r_a_e.doc	doc	14/14	4417/4418	4/4	0	match
words/batch-005/doc/316r_a_f.doc	doc	14/14	4631/4634	4/4	0	match
words/batch-005/doc/RobertQ_Service.doc	doc	4/4	587/587	2/2	0	match
words/batch-005/doc/Theft-Restitution-Letter-Vancouver-ASC-2005.doc	doc	1/1	265/265	2/2	0	match
words/batch-005/doc/loi_format_letter_of_intent-a-320-214-a330.doc	doc	10/10	3372/3372	4/5	0	match
words/batch-005/docx/2024-12_Comlux_opens_Maintenance_and_Service_Center_in_Dubai.docx	docx	3/3	672/672	4/3	0	match
words/batch-005/docx/BID_ACKNOWLEDGEMENT_FORM_FOR_A320.docx	docx	2/2	310/310	3/3	0	match
words/batch-005/docx/Technical Report and Technical Update Guidelines.docx	docx	4/4	1251/1251	5/5	0	match
words/batch-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	docx	4/4	1711/1711	5/5	0	match
words/batch-005/docx/part-147_approval list_20230119.docx	docx	2/2	758/758	5/5	0	match
words/batch-006/doc/003.doc	doc	4/5	999/999	3/3	0	pages
words/batch-006/doc/1244277 1 Comment.doc	doc	2/2	393/393	5/5	0	match
words/batch-006/doc/LHD-230-application-for-the-approval-of-an-aircraftr.doc	doc	2/2	781/779	3/3	0	match
words/batch-006/doc/P200904290238_0238_51880.doc	doc	3/3	312/312	4/4	0	match
words/batch-006/docx/62599_FRANCE-BRAZIL- Air France Flight 447 crash.docx	docx	18/18	6166/6166	2/2	0	match
words/batch-006/docx/SDL_FSDO_Part91_LOA_Checklist.docx	docx	2/2	430/430	3/3	0	match
words/batch-006/docx/cacs-206-1751218225.docx	docx	2/2	348/348	3/3	0	match
words/batch-006/docx/f445896eb008d14c1746fc37d412dc22.docx	docx	15/15	5657/5657	3/3	0	match
words/batch-006/docx/healthcare-reform-nsa-provider-bulletin.docx	docx	5/5	1980/1980	7/7	0	match
words/batch-006/docx/technical-memo-format.docx	docx	5/5	1847/1846	5/5	0	match
words/batch-007/doc/RNW167A-150428.doc	doc	9/9	1770/1770	5/5	0	match
words/batch-007/doc/Wales_Office_Quarter_4_Ministerial_Transparency_Return.DOC	doc	6/6	955/955	4/4	0	match
words/batch-007/doc/chapter 12.doc	doc	12/12	3683/3683	4/4	0	match
words/batch-007/doc/congregationalhistories_ky_2023.doc	doc	1/1	252/252	3/3	0	match
words/batch-007/docx/0c662f5c948a7d81d32ffd833c5cc59421a5f522.docx	docx	1/1	413/418	4/4	0	match
words/batch-007/docx/Press release_EUREKA labels ITEA 3 Cluster.docx	docx	2/2	843/828	3/3	0	match
words/batch-007/docx/final-technical-report-template.docx	docx	6/6	1132/1136	6/6	0	match
words/batch-007/docx/johnson_hall_service_log.pdf.docx	docx	1/1	317/317	6/6	0	match
words/batch-007/docx/technical-report-template.docx	docx	7/7	738/725	1/2	0	match
words/batch-007/docx/template-technical-report.docx	docx	10/10	859/859	3/3	0	match
words/batch-008/doc/1245685 1 Comment.doc	doc	1/1	327/327	7/7	0	match
words/batch-008/doc/2024-2nd-quarter-case-summaries.doc	doc	10/10	5677/5677	3/4	0	match
words/batch-008/doc/FlightLaws.doc	doc	4/4	1132/1133	4/5	0	match
words/batch-008/doc/PUR-0012-UTAS-GRAMS-SPA-Template-1-25-2024.doc	doc	6/6	1083/1083	4/4	0	match
words/batch-008/docx/09.docx	docx	2/2	463/463	4/4	0	match
words/batch-008/docx/4400-91_Proposal_To_Lease_Space_10-2024.docx	docx	6/6	3304/3304	5/5	0	match
words/batch-008/docx/ECSS-E-ST-50-16C-Annex-A(30September2021).docx	docx	4/4	691/691	4/4	0	match
words/batch-008/docx/FAA-2017-0628-0002_attachment_1.docx	docx	4/4	671/641	5/5	0	words
words/batch-008/docx/UAS-SGI_waiver_approval_request_form.docx	docx	2/2	513/513	3/3	0	match
words/batch-008/docx/draft-variation-notice-airbus-bm3965ia-v006-vs-comments.docx	docx	9/9	1549/1537	3/3	0	match
words/batch-009/doc/2013-op12-Annex III - Curriculum Vitae.doc	doc	3/3	359/359	2/3	0	match
words/batch-009/doc/237287_0486190101_0486190101_geolink2neu.doc	doc	8/8	1605/1605	4/4	0	match
words/batch-009/doc/A380MaenPressRel.doc	doc	3/3	789/790	5/6	0	match
words/batch-009/doc/CP-ETSO template_v2020.DOC	doc	6/6	1136/1136	4/6	0	match
words/batch-009/doc/certification-flight-standards-doc-oeb-supporting-documents-tgl-TGL26-section-5-REV10.doc	doc	8/8	1268/1268	4/4	0	match
words/batch-009/docx/Case-Study-Heathrow-Airport.docx	docx	3/3	1216/1216	6/6	0	match
words/batch-009/docx/Contract_Check_Pilot_Sample_LOA.docx	docx	4/4	1336/1336	6/6	0	match
words/batch-009/docx/Lessons-Learned-Bulletin-Dorset-version-to-IIRG-V5.docx	docx	3/3	1553/1553	4/4	0	match
words/batch-009/docx/SWDD-template.docx	docx	6/6	1063/1078	6/6	0	match
words/batch-009/docx/form_1123_application_form_rvsm_spa.docx	docx	3/3	638/638	5/5	0	match
words/batch-010/doc/361400CSLegislation1RF01PUBLIC1.doc	doc	35/35	12642/12647	4/4	0	match
words/batch-010/doc/f111.doc	doc	11/11	3392/3392	5/6	0	match
words/batch-010/docx/195584360.docx	docx	20/20	8012/8010	5/5	0	match
words/batch-010/docx/5709.16 ch.40_mgfinal.docx	docx	31/32	10001/10034	4/4	0	pages
words/batch-010/docx/Checklist for TC STC ETSO data packages to FAA_TIP rev 5.docx	docx	3/3	1102/1102	4/4	0	match
words/batch-010/docx/PM-apeech-Handover-of-New-Airbus-Aircraft-for-Fiji-Airways-Dec.-15th.docx	docx	5/5	584/584	4/4	0	match
words/batch-010/docx/Writing a technical report (SCE subject guide).docx	docx	4/4	1267/1267	8/8	0	match
words/batch-010/docx/te.iors.00048-002 SUP Questionnaire.docx	docx	4/4	640/640	2/2	0	match
words/batch-010/docx/technical report template.docx	docx	10/10	857/846	4/4	0	match
words/batch-011/doc/135.doc	doc	14/14	5323/5316	6/8	0	match
words/batch-011/doc/1528364855.doc	doc	3/3	1103/1104	4/4	0	match
words/batch-011/docx/FG-AI4NDM-TR-skeleton_template.docx	docx	5/5	439/438	7/7	0	match
words/batch-011/docx/b053-19.docx	docx	2/2	493/493	2/2	0	match
words/batch-011/docx/eTAR_External_Web_tool_Tip_Sheet_mh.docx	docx	4/4	934/934	3/3	0	match
words/batch-011/docx/f2_registro_de_aprovacao_com_pbcs_EN.docx	docx	2/2	464/458	5/5	0	match
words/batch-011/docx/part-145-approval list (1).docx	docx	8/8	1616/1618	5/5	0	match
words/batch-011/docx/part-145-approval list 2025.docx	docx	7/7	1478/1478	5/5	0	match
words/batch-011/docx/review-welsh-government-communications-mister-peter-mandelson.docx	docx	16/14	3064/3052	6/6	0	pages
words/batch-011/docx/tibs_guidelines_2.docx	docx	13/13	3179/3168	8/9	0	match
words/batch-012/doc/AAC-AD-No-2021-01-Boeing-737-8-and-737-9-MAX.doc	doc	20/20	7513/7512	5/7	0	match
words/batch-012/doc/AirbusCallouts.doc	doc	24/24	9159/9161	4/5	0	match
words/batch-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	doc	6/6	2731/2731	5/5	0	match
words/batch-012/doc/手机免提系统TSB.doc	doc	2/3	77/99	8/6	0	pages,words
words/batch-012/docx/19-06 Assistive Technology TAB Final - 508.docx	docx	8/8	3267/3267	8/8	0	match
words/batch-012/docx/Company-profile-2022-EN.docx	docx	5/5	1212/1212	5/6	0	match
words/batch-012/docx/Leadership Information Article.docx	docx	3/3	1460/1460	4/4	0	match
words/batch-012/docx/monthly-content-feeder.docx	docx	18/18	6021/6021	9/10	0	match
words/batch-012/docx/slcc-architecture-uu-architecture.docx	docx	4/4	1236/1236	7/7	0	match
words/batch-012/docx/technical-architecture.docx	docx	8/8	1152/1130	9/10	0	match
words/batch-013/docx/20110608_psp.docx	docx	3/3	679/679	4/4	0	match
words/batch-013/docx/A1. EASA Form 2.docx	docx	9/7	2436/2240	4/5	0	pages,words
words/batch-013/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	docx	2/2	153/147	4/4	0	words
words/batch-013/docx/FO.FCTOA_.000129 Application for activities related to FSTD.docx	docx	6/6	1712/1712	5/6	0	match
words/batch-013/docx/Sol PJ14-03-04 Solution Contextual.docx	docx	5/5	2105/2109	5/6	0	match
words/batch-013/docx/b050-19.docx	docx	3/3	874/874	4/4	0	match
words/batch-013/docx/bulletin.docx	docx	14/14	3283/3292	6/5	0	match
words/batch-013/docx/easa-regulations-update-20.docx	docx	22/22	2844/2844	5/5	0	match
words/batch-013/docx/template---tpr-technical-progress-report-with-guidance.docx	docx	8/7	1885/1887	8/8	0	pages
words/batch-014/doc/1228841571067_2009_TPPT_13__2007_TPPT_102__R-108535759.doc	doc	12/12	2797/2798	5/5	0	match
words/batch-014/doc/1257259179492_2007_TPPT_102_Supporting_Doc_2-434003080.doc	doc	9/9	2158/2163	3/5	0	match
words/batch-014/doc/Reid.doc	doc	4/4	1570/1570	5/6	0	match
words/batch-014/doc/omrIMInterpretiveGuideLine.doc	doc	2/2	377/383	4/4	0	match
words/batch-014/docx/FO.FCTOA.00010 Application for a Part-ORA ATO Approval.docx	docx	15/16	4518/4578	6/7	0	pages
words/batch-014/docx/Form-SM-76A-_-CAR-OPS-2A-Instruments-and-Equipment-Compliance-Statement-_-11.docx	docx	3/3	627/627	7/7	0	match
