# The 87 documents the whole-corpus gate scored MISMATCH at Paperless 2f4709c08.
# ours   = Paperless.Cli @ 2f4709c08, PAPERLESS_BUNDLED_FONTS unset (installed faces win)
# ref24  = /usr/bin/soffice, LibreOffice 24.2.7.2 420(Build:2) - what batch-check.sh measures
# ref26  = /opt/libreoffice26.2/program/soffice, LibreOffice 26.2.4.2 0229ac93fcf0d7cb,
#          with the eight Latin duplicate faces moved aside (.duplicates-aside/.noto-aside)
# fonts  = system fontconfig: Carlito, Caladea, Liberation, DejaVu, WenQuanYi, IPAGothic
# rule   = batch-check.sh of 2026-09-05: page count, then max(2%, 15) alphanumeric characters
# host   = /home/user/sample-files corpus, 947 documents; measured 2026-09-06
path	ext	pages_ours	pages_ref24	pages_ref26	glyphs_ours	glyphs_ref24	glyphs_ref26	v_vs24	v_vs26	ref24_vs_ref26	cause	note
sheets/ceiling-001/xls/Template Pilot Logbook JAR-FCL V3.0.xls	xls	38	38	38	5756	5643	5643	words	words	match	number-format-time	124 cells read 00:00 where the reference reads 0:00, and the date cells differ in the same way - a leading zero our h:mm formatter adds
sheets/chartset-004/xlsx/DynamicBubbleChart.xlsx	xlsx	5	5	5	1723	1803	1728	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
sheets/chartset-004/xlsx/microsoft_learn_multi_chart_examples.xlsx	xlsx	5	5	5	839	858	826	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
sheets/chartset-005/xlsx/004_Contextures_chart_sample_de7c0671.xlsx	xlsx	4	4	4	879	900	882	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
sheets/chartset-006/xls/011_Contextures_chart_sample_599b4392.xls	xls	4	4	4	1099	1477	1102	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
sheets/chartset-006/xls/014_Contextures_chart_sample_991ecfc5.xls	xls	3	3	3	537	561	561	words	words	match	chart-broken	read: our chart plots ~20 #N/A categories, has no secondary axis, and its bars run off the top of the plot; value axis reads $1/$0 against the reference's $800/$720
sheets/chartset-006/xlsx/070_Equipment_inventory_list_Use_this_template_fd524c8a.xlsx	xlsx	1	1	1	1128	943	1028	words	words	words	refs-disagree	943 glyphs on 24.2, 1028 on 26.2, 1128 ours; a chart-fallback notice one ref draws
sheets/chartset-007/xlsm/003_Contextures_chart_sample_9bda2719.xlsm	xlsm	6	6	6	1426	1507	1426	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
sheets/chartset-007/xlsx/040_Blood_pressure_tracker_872b6833.xlsx	xlsx	1	1	1	737	711	711	words	words	match	volatile-recalc	ours 11/6/2022 x4 where both references print today's date; nothing else differs
sheets/chartset-007/xlsx/054_Problem_analysis_with_Pareto_chart_11058329.xlsx	xlsx	1	1	1	299	429	299	words	match	words	version-gap	matches 26.2.4.2 under the gate's own rule
