identity	ext	track	path	npages	ink_sum	ink_per_page	ink_max_page	max_page_no	major_pages	note	max_page_hint	prior_mentions	prior_rounds
FAA 2025-26 Holdover Tables__docx	docx	words	words/pagination-001/docx/FAA 2025-26 Holdover Tables.docx	157	341.86	2.1775	13.12	127	33	ok	the whole page: ink we draw that the reference does not (58.32% of page, x 0.07-0.93, y 0.09-0.90)	45	L2-docx-layout;dotnet;mismatch-classify-01;odt-resid-r77;rtf-bookmark-r88;rtf-heading-r98
24-25_FAA_Holdover_Tables__docx	docx	words	words/pagination-001/docx/24-25_FAA_Holdover_Tables.docx	145	334.19	2.3048	13.98	109	32	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (51.37% of page, x 0.07-0.93, y 0.15-0.88)	42	L2-docx-layout;dotnet;mismatch-classify-01;odt-resid-r77;rtf-bookmark-r88;rtf-heading-r98
NAS-Infrastructure-Roadmaps-v16.0__pptx	pptx	slides	slides/done-011/pptx/NAS-Infrastructure-Roadmaps-v16.0.pptx	137	151.74	1.1076	5.53	8	49	ok	the whole page: marks displaced or reshaped (40.19% of page, x 0.04-1.00, y 0.05-1.00)	48	L5-slides;L8-drawing;dotnet;fidelity-b-01;slides-b-01;slides-r50
FY2021-AIP-grants__xlsx	xlsx	sheets	sheets/done-013/xlsx/FY2021-AIP-grants.xlsx	58	127.05	2.1905	4.61	25	30	ok	the whole page: marks displaced or reshaped (6.37% of page, x 0.04-0.96, y 0.08-0.91)	4	dotnet;ods-resid-r80
AC-150-5370-10G-updated-201604__docx	docx	words	words/done-016/docx/AC-150-5370-10G-updated-201604.docx	696	113.16	0.1626	3.02	5	178	ok	bottom-centre: marks displaced or reshaped (6.16% of page, x 0.11-0.86, y 0.71-0.88)	28	L3-docx-reader;caption-keepnext-table;dotnet;fonts-r65;rtf-style-r97;words-pagination-01
150-5370-10H__docx	docx	words	words/pagination-003/docx/150-5370-10H.docx	727	109.22	0.1502	3.21	7	726	ok	top-centre: marks displaced or reshaped (5.20% of page, x 0.11-0.86, y 0.22-0.35)	54	dotnet;fonts-r64;fonts-r65;lineheight-01;mismatch-classify-01;rtf-htmautsp-r85
grants-2005__xls	xls	sheets	sheets/pagination-001/xls/grants-2005.xls	201	96.11	0.4782	2.06	158	45	ok	top-centre: a fill of the wrong colour (2.12% of page, x 0.08-0.85, y 0.09-0.12)	39	L6-sheets;biff-reader-r98;dotnet;mismatch-classify-01;sheet-shapefill-r92;sheets-b-01
TK-Syllabus-Comparison-Document-v2__xlsx	xlsx	sheets	sheets/done-016/xlsx/TK-Syllabus-Comparison-Document-v2.xlsx	1235	92.62	0.0750	6.71	20	28	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (47.54% of page, x 0.14-0.86, y 0.04-0.95)	32	dotnet;o2-audit-r121;odf-rowpitch-r72;ods-page-r77;probes;sheet-ink-r94
CSJU List of Recipients of funds 2013-2020__xlsx	xlsx	sheets	sheets/done-012/xlsx/CSJU List of Recipients of funds 2013-2020.xlsx	97	64.47	0.6646	8.95	41	9	ok	top-centre: a fill or background shading we draw and the reference does not (42.57% of page, x 0.08-0.92, y 0.06-0.57)	13	L6-sheets;dotnet;ods-resid-r80;sheet-border-r115;sheet-shapefill-r92;sheets-r23
atspp_pay_tables__xlsx	xlsx	sheets	sheets/done-012/xlsx/atspp_pay_tables.xlsx	101	47.46	0.4699	3.22	66	15	ok	middle-centre: a solid area drawn differently (48.84% of page, x 0.08-0.84, y 0.12-0.81)	6	L6-sheets;odf-rowpitch-r72;sheet-shapefill-r92;sheets-r37;underline-r118
tk-syllabus-comparison-document-v5__xlsx	xlsx	sheets	sheets/done-015/xlsx/tk-syllabus-comparison-document-v5.xlsx	855	46.53	0.0544	2.43	448	37	ok	middle-left: ink we draw that the reference does not (5.55% of page, x 0.18-0.46, y 0.06-0.93)	31	dotnet;ods-band-r75;ods-resid-r80;sheet-ink-r94;sheet-shapefill-r92;sheet-wrap-r99
Reporting_responsibilities_matrix__pptx	pptx	slides	slides/done-014/pptx/Reporting_responsibilities_matrix.pptx	268	34.70	0.1295	1.28	138	2	ok		25	dotnet;fidelity-b-01;slides-r62;slides-r63
Computer and Software Services_50 State Comparison__xlsx	xlsx	sheets	sheets/done-008/xlsx/Computer and Software Services_50 State Comparison.xlsx	26	27.95	1.0750	2.83	12	10	ok	middle-centre: marks displaced or reshaped (26.43% of page, x 0.07-0.82, y 0.06-0.89)	7	dotnet;sheet-ink-r94;sheet-rows-r98
6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web__xlsx	xlsx	sheets	sheets/done-014/xlsx/6880ac7361ca1b99a9230811_ST Capability List Rev.16 - Web.xlsx	217	24.70	0.1138	0.80	214	0	ok		5	dotnet;sheet-shapefill-r92;sheets-d-01;sheets-r33;underline-r118
orbus_togaf_tool_csq__xls	xls	sheets	sheets/missing-001/xls/orbus_togaf_tool_csq.xls	75	23.50	0.3133	4.40	7	2	ok	middle-centre: marks displaced or reshaped (7.62% of page, x 0.04-0.94, y 0.07-0.82)	45	biff-reader-r98;chart-geom-r108;chart-resid-r99;chart-secaxis;chart-slide-r117;chart-smooth-r102
150_5335_5a__doc	doc	words	words/done-016/doc/150_5335_5a.doc	64	21.46	0.3353	2.78	13	7	ok	top-centre: marks displaced or reshaped (35.39% of page, x 0.16-0.90, y 0.00-0.62)	37	L4-doc-legacy;crop-wiring-01;dotnet;odt-page-r87;odt-startx-r88;slides-r59
Snowbirds_High_Show__pptx	pptx	slides	slides/done-014/pptx/Snowbirds_High_Show.pptx	41	20.18	0.4922	0.71	28	0	ok		3	dotnet;slides-r55;slides-sym-01
2015-Civil-Rights-Website-training__ppt	ppt	slides	slides/done-013/ppt/2015-Civil-Rights-Website-training.ppt	94	20.12	0.2140	1.65	94	12	ok	top-right: ink we draw that the reference does not (2.48% of page, x 0.57-0.96, y 0.15-0.23)	74	dotnet;fonts-r64;ppt-autofit-r84;ppt-fit-r85;probes;slide-table-r113
environment-edb-docs-edb-emissions-databank__xls	xls	sheets	sheets/done-016/xls/environment-edb-docs-edb-emissions-databank.xls	195	18.68	0.0958	1.58	131	7	ok	middle-centre: marks displaced or reshaped (5.58% of page, x 0.06-0.91, y 0.11-0.64)	10	dotnet;ods-notes-r92;sheets-d-01;sheets-overflow-01;sheets-r31;sheets-r57
npias_2009_appA__xls	xls	sheets	sheets/done-012/xls/npias_2009_appA.xls	73	17.66	0.2419	0.86	73	9	ok		2	ods-band-r75;sheets-r31
RMP 2011-2014 and Inventory__xls	xls	sheets	sheets/done-010/xls/RMP 2011-2014 and Inventory.xls	38	17.42	0.4584	1.15	12	1	ok		28	biff-reader-r98;dotnet;ods-notes-r92;ods-resid-r80;ods-track-r88;quantise-r120
fy20-may20-sep20__xlsx	xlsx	sheets	sheets/done-013/xlsx/fy20-may20-sep20.xlsx	96	16.75	0.1745	2.39	15	3	ok	middle-centre: marks displaced or reshaped (8.64% of page, x 0.43-0.77, y 0.06-0.91)	4	dotnet;ods-band-r75
EHEST-SMS-Safety-Management-Manual-V2__docx	docx	words	words/pagination-003/docx/EHEST-SMS-Safety-Management-Manual-V2.docx	82	16.59	0.2023	3.37	64	7	ok	middle-centre: marks displaced or reshaped (9.37% of page, x 0.09-0.89, y 0.34-0.94)	30	chart-axisrot-r91;dotnet;rtf-heading-r98;slides-missing-01;slides-r56;tab-over-spacing
airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20__pptx	pptx	slides	slides/done-009/pptx/airbus-powerpoint-presentation-2019-20-without-video_diy_2019-20.pptx	38	15.36	0.4042	0.85	28	2	ok		0	
Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final__pptx	pptx	slides	slides/done-012/pptx/Intersil_Italy_CAN_Bus_Transceiver_Presentation_Final.pptx	39	15.17	0.3890	1.91	8	8	ok	top-left: a fill or background shading the reference has and we do not (1.49% of page, x 0.05-0.28, y 0.01-0.08)	7	chart-label-anchor;dotnet;fidelity-b-01;overflow-r69;slides-r59;slides-r63
sectors-defense-and-aerospace__xlsx	xlsx	sheets	sheets/pagination-001/xlsx/sectors-defense-and-aerospace.xlsx	449	13.41	0.0299	0.69	432	20	ok	bottom-left: a fill of the wrong colour (2.82% of page, x 0.08-0.50, y 0.84-0.91)	47	L6-sheets;dotnet;fonts-r64;mismatch-classify-01;numfmt-r68;ods-resid-r80
AirbusCallouts__doc	doc	words	words/done-012/doc/AirbusCallouts.doc	24	12.82	0.5342	3.41	2	4	ok	middle-centre: marks displaced or reshaped (34.50% of page, x 0.08-0.92, y 0.11-0.74)	4	words-ink-r67;words-r58;words-r59
chapter_4_0__pptx	pptx	slides	slides/done-013/pptx/chapter_4_0.pptx	54	12.70	0.2352	0.93	1	1	ok		4	dotnet;odp-master-r70;odp-running-r71;slides-r52
flightstandards-doc-Cross-reference-table_version02__xlsx	xlsx	sheets	sheets/done-015/xlsx/flightstandards-doc-Cross-reference-table_version02.xlsx	464	12.50	0.0269	2.54	2	35	ok	top-centre: ink missing from ours — a graphic, glyphs or a fill (9.18% of page, x 0.06-0.86, y 0.08-0.24)	20	cond-format-r96;dotnet;ods-residue-r95;sheet-ink-r94;sheet-rows-r98;sheet-wrap-r99
FAA-2019-0995-0002_attachment_2__xlsx	xlsx	sheets	sheets/table-001/xlsx/FAA-2019-0995-0002_attachment_2.xlsx	33	11.96	0.3624	3.24	28	9	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (13.58% of page, x 0.25-0.90, y 0.51-0.79)	45	cond-format-r96;dotnet;sheets-d-01;sheets-r31;sheets-r33;sheets-r40
NAS-Infrastructure-Roadmaps-Weather__pptx	pptx	slides	slides/done-005/pptx/NAS-Infrastructure-Roadmaps-Weather.pptx	11	11.30	1.0273	3.52	11	4	ok	middle-centre: marks displaced or reshaped (22.62% of page, x 0.03-0.97, y 0.12-0.58)	10	dotnet;ink-pass-r92;probes;slides-ink-r94;slides-r51
part-145-approval list (1)__docx	docx	words	words/done-011/docx/part-145-approval list (1).docx	8	11.21	1.4012	2.93	3	6	ok	top-centre: marks displaced or reshaped (13.70% of page, x 0.02-0.96, y 0.07-0.33)	5	dotnet;words-ink-r67;words-r44;words-r54
t_TEMPforInvProgs__docx	docx	words	words/done-016/docx/t_TEMPforInvProgs.docx	26	11.11	0.4273	3.06	22	5	ok	middle-centre: ink missing from ours — a graphic, glyphs or a fill (15.43% of page, x 0.11-0.89, y 0.37-0.61)	16	dotnet;mismatch-classify-01;words-continuous-header-r70;words-continuous-r72;words-diagram-01;words-diagram-02
RMI_Document_Repository_Public-Reprts_GettingOffOil__doc	doc	words	words/done-012/doc/RMI_Document_Repository_Public-Reprts_GettingOffOil.doc	6	10.85	1.8083	7.58	2	2	ok	middle-centre: a fill or background shading the reference has and we do not (22.94% of page, x 0.11-0.89, y 0.47-0.78)	2	crop-wiring-01
T0A0D0000090006XLSE__xls	xls	sheets	sheets/done-011/xls/T0A0D0000090006XLSE.xls	162	10.74	0.0663	0.78	159	7	ok	middle-left: ink we draw that the reference does not (1.90% of page, x 0.08-0.19, y 0.08-0.86)	23	biff-reader-r98;dotnet;sheets-b-01;sheets-b011-01;sheets-d-01;sheets-r32
EG1_dsrc tech__ppt	ppt	slides	slides/done-008/ppt/EG1_dsrc tech.ppt	26	10.73	0.4127	2.87	8	1	ok	middle-centre: marks displaced or reshaped (15.02% of page, x 0.21-0.80, y 0.38-0.95)	10	slides-arch-01;slides-b-01;slides-bullet2-r112;slides-ink-r94;slides-paint-01;slides-r108
HC-Bulletin-template__docx	docx	words	words/done-016/docx/HC-Bulletin-template.docx	5	10.48	2.0960	7.02	2	2	ok	the whole page: ink missing from ours — a graphic, glyphs or a fill (48.29% of page, x 0.07-0.93, y 0.06-0.92)	13	dotnet;frame-area-r85;odt-split-r82;words-b010-01;words-floating-table;words-fly-clearance
fm-provider-service-measures__xlsx	xlsx	sheets	sheets/done-014/xlsx/fm-provider-service-measures.xlsx	38	10.27	0.2703	8.88	5	1	ok	middle-right: a fill or background shading the reference has and we do not (12.03% of page, x 0.49-0.96, y 0.30-0.55)	36	cond-format-r96;dotnet;gate-r116;probes;sheet-shapefill-r92;sheet-wrap-r99
3495__pptx	pptx	slides	slides/done-011/pptx/3495.pptx	26	10.25	0.3942	3.06	9	3	ok	middle-right: ink missing from ours — a graphic, glyphs or a fill (9.76% of page, x 0.46-0.94, y 0.36-0.82)	18	chart-hyph-r105;chart-inner-r110;dotnet;hyphen-r106;probes;sheets-r59
docs-quality-MA.IMS.00001-Integrated-Management-System-manual__docx	docx	words	words/pagination-002/docx/docs-quality-MA.IMS.00001-Integrated-Management-System-manual.docx	44	10.22	0.2323	2.77	30	2	ok	middle-left: marks displaced or reshaped (4.53% of page, x 0.13-0.36, y 0.19-0.82)	5	chart-fit-r97;words-group-transform;words-inline-canvas;words-r59;words-r62
southern-classic-kennesaw-state-university-final__pptx	pptx	slides	slides/chart-001/pptx/southern-classic-kennesaw-state-university-final.pptx	23	9.79	0.4257	2.19	20	4	ok	top-right: ink missing from ours — a graphic, glyphs or a fill (2.31% of page, x 0.82-0.99, y 0.15-0.36)	24	chart-cat-reverse;chart-hyph-r105;chart-label-anchor;chart-layout;chart-secaxis;dotnet
171128IPAP__pptx	pptx	slides	slides/done-011/pptx/171128IPAP.pptx	40	9.77	0.2443	1.91	40	2	ok	middle-centre: marks displaced or reshaped (30.10% of page, x 0.09-0.93, y 0.17-0.85)	95	chart-fit;chart-label-anchor;chart-resid-r75;chart-smooth-r102;chart-wrap-r111;dotnet
UASEventsNov2014-Aug2015__xls	xls	sheets	sheets/done-014/xls/UASEventsNov2014-Aug2015.xls	523	9.29	0.0178	1.73	337	1	ok		1	numfmt-r68
080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop__ppt	ppt	slides	slides/done-002/ppt/080214-Intl-pol-frameworks-and-their-implications-for-Africa-ISS-workshop.ppt	18	9.06	0.5033	1.49	11	2	ok		0	
edb-emissions-databank v27-NewFormat (web)__xlsx	xlsx	sheets	sheets/done-014/xlsx/edb-emissions-databank v27-NewFormat (web).xlsx	368	8.88	0.0241	1.03	321	10	ok		2	sheets-b011-01;sheets-tagged-01
