path	ext	tables	rows	disagreeing_edges	nil_under_border
words/ceiling-001/docx/AW-104D-RVSM-Aircraft-Approval-Checklist.pdf.docx	docx	10	22	0	0
words/done-001/docx/CMTA_Airport_Transportation.docx	docx	0	0	0	0
words/done-001/docx/Pre-Application_Letter_of_Intent_Example.docx	docx	0	0	0	0
words/done-001/doc/FAA-2013-0422-0009_attachment_1.doc	doc	-1	-1	-1	-1
words/done-001/doc/GLACIERBG.ETT.doc	doc	-1	-1	-1	-1
words/done-001/docx/Service-Bulletin-SDFNR5-April-25-2023-FNR-TRANSMISSION-LUBRICATION.docx	docx	0	0	0	0
words/done-001/doc/advert-for-draft-decision-airbus-epr-bm3965ia-v006.doc	doc	-1	-1	-1	-1
words/done-001/doc/LENTOBUSSIAIKATAULU.-31.10.-31.12.2022.doc	doc	-1	-1	-1	-1
words/done-001/docx/private-hire-operators-licensed.docx	docx	1	40	152	152
words/done-001/docx/Sample_PAO-PSO_91-113_Letter.docx	docx	0	0	0	0
words/done-001/doc/foca_form_1.doc	doc	-1	-1	-1	-1
words/done-002/docx/lk03_17.docx	docx	0	0	0	0
words/done-002/doc/FMRBullletinB-28.doc	doc	-1	-1	-1	-1
words/done-002/doc/Bull01-06-Reserve Training Standards.doc	doc	-1	-1	-1	-1
words/done-002/docx/easa-form-1.docx	docx	2	15	25	25
words/done-002/docx/AUWG min 4-3-24 final.docx	docx	0	0	0	0
words/done-002/docx/CSCRS_Technical-Report-Documentation-Page-with-instructions.docx	docx	1	13	8	8
words/done-002/docx/Interview-mit-Manfred1-Müller.docx	docx	0	0	0	0
words/done-002/doc/prison-population-bulletin-june.doc	doc	-1	-1	-1	-1
words/done-002/docx/FAA-High-Level-Org-Chart.docx	docx	0	0	0	0
words/done-002/docx/s33song-beverlyactproductionofdocuments.docx	docx	0	0	0	0
words/done-003/doc/10795.doc	doc	-1	-1	-1	-1
words/done-003/doc/Temp16.doc	doc	-1	-1	-1	-1
words/done-003/docx/mde087077~283.docx	docx	1	17	0	0
words/done-003/docx/DRX-Ascend System Course Description.docx	docx	2	7	0	0
words/done-003/docx/191216_Lesefassung_Nachtflugregelung.docx	docx	1	6	0	0
words/done-003/docx/Technical_Issue_Report_Form.docx	docx	1	27	0	0
words/done-003/doc/II.1.2_Hypoxia.doc	doc	-1	-1	-1	-1
words/done-003/docx/2015-April-SWIM_Users_Forum-Q&A.docx	docx	3	26	0	0
words/done-003/doc/96-3-clement-data.doc	doc	-1	-1	-1	-1
words/done-003/doc/DEP2008-1900.doc	doc	-1	-1	-1	-1
words/done-004/doc/07-04.doc	doc	-1	-1	-1	-1
words/done-004/docx/1528039320.docx	docx	3	30	0	0
words/done-004/docx/License App Instructions 2-22.docx	docx	1	1	0	0
words/done-004/docx/Software Architecture Document Template.docx	docx	1	3	0	0
words/done-004/docx/How-to-Write-an-Architecture-Document-for-a-Technology-Service.docx	docx	0	0	0	0
words/done-004/doc/2ca950374241722b8ea7c132dfce63ae.doc	doc	-1	-1	-1	-1
words/done-004/docx/PAT-047 - Architecture and Detailed Design Assessment.docx	docx	6	42	0	0
words/done-004/doc/opic 5--Case Studies Movie and Aviation Industries.doc	doc	-1	-1	-1	-1
words/done-004/docx/461249.docx	docx	1	32	40	40
words/done-004/doc/RobertQ_Service.doc	doc	-1	-1	-1	-1
words/done-005/docx/healthcare-reform-nsa-consumer-bulletin.docx	docx	0	0	0	0
words/done-005/doc/316r_a_f.doc	doc	-1	-1	-1	-1
